hpo_term_id,hpo_term_name,phecode,phecode_name
HP:0000003,Multicystic kidney dysplasia,586.2,"Cyst of kidney, acquired"
HP:0000010,Recurrent urinary tract infections,591,Urinary tract infection
HP:0000011,Neurogenic bladder,596.5,Functional disorders of bladder
HP:0000012,Urinary urgency,599.9,Other abnormality of urination
HP:0000013,Hypoplasia of the uterus,751.11,Congenital anomalies of female genital organs
HP:0000015,Bladder diverticulum,596,Other disorders of bladder
HP:0000016,Urinary retention,599.2,Retention of urine
HP:0000017,Nocturia,599.5,Frequency of urination and polyuria
HP:0000020,Urinary incontinence,599.4,Urinary incontinence
HP:0000021,Megacystis,751.2,Congenital anomalies of urinary system
HP:0000022,Abnormality of male internal genitalia,751.12,Congenital anomalies of male genital organs
HP:0000023,Inguinal hernia,550.1,Inguinal hernia
HP:0000024,Prostatitis,601.1,Prostatitis
HP:0000026,Male hypogonadism,257.1,Testicular hypofunction
HP:0000027,Azoospermia,609.11,Azoospermia and oligospermia
HP:0000028,Cryptorchidism,751.12,Congenital anomalies of male genital organs
HP:0000029,Testicular atrophy,603,Other disorders of testis
HP:0000031,Epididymitis,601.3,Orchitis and epididymitis
HP:0000033,"Ambiguous genitalia, male",751.12,Congenital anomalies of male genital organs
HP:0000034,Hydrocele testis,603.1,Hydrocele
HP:0000037,Male pseudohermaphroditism,751.1,Congenital anomalies of genital organs
HP:0000039,Epispadias,751.12,Congenital anomalies of male genital organs
HP:0000041,Chordee,751.12,Congenital anomalies of male genital organs
HP:0000044,Hypogonadotrophic hypogonadism,253.4,Anterior pituitary disorders
HP:0000046,Scrotal hypoplasia,751.1,Congenital anomalies of genital organs
HP:0000047,Hypospadias,751.12,Congenital anomalies of male genital organs
HP:0000048,Bifid scrotum,751.12,Congenital anomalies of male genital organs
HP:0000049,Shawl scrotum,751.12,Congenital anomalies of male genital organs
HP:0000050,Hypoplastic male external genitalia,751.12,Congenital anomalies of male genital organs
HP:0000051,Perineal hypospadias,751.12,Congenital anomalies of male genital organs
HP:0000054,Micropenis,751.12,Congenital anomalies of male genital organs
HP:0000059,Hypoplastic labia majora,751.11,Congenital anomalies of female genital organs
HP:0000060,Clitoral hypoplasia,751.11,Congenital anomalies of female genital organs
HP:0000061,"Ambiguous genitalia, female",751.11,Congenital anomalies of female genital organs
HP:0000062,Ambiguous genitalia,751.1,Congenital anomalies of genital organs
HP:0000063,Fused labia minora,751.11,Congenital anomalies of female genital organs
HP:0000064,Hypoplastic labia minora,751.11,Congenital anomalies of female genital organs
HP:0000065,Labial hypertrophy,623,Hypertrophy of female genital organs
HP:0000066,Labial hypoplasia,751.11,Congenital anomalies of female genital organs
HP:0000068,Urethral atresia,751.2,Congenital anomalies of urinary system
HP:0000070,Ureterocele,751.3,Obstructive genitourinary defect
HP:0000071,Ureteral stenosis,597.1,Urethral stricture (not specified as infectious)
HP:0000072,Hydroureter,586.4,Stricture/obstruction of ureter
HP:0000073,Ureteral duplication,751.2,Congenital anomalies of urinary system
HP:0000074,Ureteropelvic junction obstruction,586.4,Stricture/obstruction of ureter
HP:0000075,Renal duplication,751.22,Other specified congenital anomalies of kidney
HP:0000076,Vesicoureteral reflux,586.12,Vesicoureteral reflux
HP:0000081,Duplicated collecting system,751.22,Other specified congenital anomalies of kidney
HP:0000083,Renal insufficiency,585.2,Renal failure NOS
HP:0000085,Horseshoe kidney,751.22,Other specified congenital anomalies of kidney
HP:0000086,Ectopic kidney,751.22,Other specified congenital anomalies of kidney
HP:0000089,Renal hypoplasia,586.11,Small kidney
HP:0000090,Nephronophthisis,751.21,Cystic kidney disease
HP:0000093,Proteinuria,269,Proteinuria
HP:0000096,Glomerulosclerosis,580.12,Non-proliferative glomerulonephritis
HP:0000097,Focal segmental glomerulosclerosis,580.12,Non-proliferative glomerulonephritis
HP:0000098,Tall stature,253.11,Acromegaly and gigantism
HP:0000099,Glomerulonephritis,580.1,Glomerulonephritis
HP:0000100,Nephrotic syndrome,580,Nephritis; nephrosis; renal sclerosis
HP:0000103,Polyuria,599.5,Frequency of urination and polyuria
HP:0000104,Renal agenesis,751.22,Other specified congenital anomalies of kidney
HP:0000105,Enlarged kidney,751.22,Other specified congenital anomalies of kidney
HP:0000107,Renal cyst,586.2,"Cyst of kidney, acquired"
HP:0000108,Renal corticomedullary cysts,586.2,"Cyst of kidney, acquired"
HP:0000110,Renal dysplasia,751.21,Cystic kidney disease
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,586.3,Vascular disorders of kidney/hypertrophy
HP:0000112,Nephropathy,580,Nephritis; nephrosis; renal sclerosis
HP:0000113,Polycystic kidney dysplasia,751.21,Cystic kidney disease
HP:0000117,Renal phosphate wasting,588,Disorders resulting from impaired renal function
HP:0000121,Nephrocalcinosis,275.5,Disorders of calcium/phosphorus metabolism
HP:0000122,Unilateral renal agenesis,751.22,Other specified congenital anomalies of kidney
HP:0000123,Nephritis,580,Nephritis; nephrosis; renal sclerosis
HP:0000124,Renal tubular dysfunction,588,Disorders resulting from impaired renal function
HP:0000125,Pelvic kidney,751.22,Other specified congenital anomalies of kidney
HP:0000126,Hydronephrosis,595,Hydronephrosis
HP:0000127,Renal salt wasting,586,Other disorders of the kidney and ureters
HP:0000128,Renal potassium wasting,588,Disorders resulting from impaired renal function
HP:0000130,Abnormality of the uterus,751.11,Congenital anomalies of female genital organs
HP:0000131,Uterine leiomyoma,218.1,Uterine leiomyoma
HP:0000132,Menorrhagia,627.4,Premenopausal menorrhagia
HP:0000134,Female hypogonadism,627.5,Premature menopause and other ovarian failure
HP:0000135,Hypogonadism,257.1,Testicular hypofunction
HP:0000138,Ovarian cyst,628,Ovarian cyst
HP:0000139,Uterine prolapse,618.2,Uterine/Uterovaginal prolapse
HP:0000140,Abnormality of the menstrual cycle,626.1,Irregular menstrual cycle/bleeding
HP:0000141,Amenorrhea,626.11,Absent or infrequent menstruation
HP:0000142,Abnormality of the vagina,751.11,Congenital anomalies of female genital organs
HP:0000143,Rectovaginal fistula,617,"Disorders secondary to childbirth, surgery, trauma"
HP:0000145,Transverse vaginal septum,751.11,Congenital anomalies of female genital organs
HP:0000147,Polycystic ovaries,256.4,Polycystic ovaries
HP:0000148,Vaginal atresia,751.11,Congenital anomalies of female genital organs
HP:0000149,Ovarian gonadoblastoma,184,Cancer of other female genital organs
HP:0000150,Gonadoblastoma,187.8,Neoplasm of uncertain behavior of male genital organs
HP:0000151,Aplasia of the uterus,751.11,Congenital anomalies of female genital organs
HP:0000154,Wide mouth,749,Congenital anomalies of face and neck
HP:0000155,Oral ulcer,528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
HP:0000158,Macroglossia,750.13,Congenital anomalies of mouth/tongue
HP:0000161,Median cleft lip,749.1,Cleft palate
HP:0000162,Glossoptosis,529,Diseases and other conditions of the tongue
HP:0000164,Abnormality of the dentition,524,"Dentofacial anomalies, including malocclusion"
HP:0000166,Severe periodontitis,523.3,Periodontitis (acute or chronic)
HP:0000168,Abnormality of the gingiva,523,Gingival and periodontal diseases
HP:0000169,Gingival fibromatosis,523,Gingival and periodontal diseases
HP:0000171,Microglossia,750.13,Congenital anomalies of mouth/tongue
HP:0000175,Cleft palate,749.1,Cleft palate
HP:0000176,Submucous cleft hard palate,749.1,Cleft palate
HP:0000180,Lobulated tongue,750.13,Congenital anomalies of mouth/tongue
HP:0000185,Cleft soft palate,749.1,Cleft palate
HP:0000197,Abnormality of parotid gland,527,Diseases of the salivary glands
